StdInChIKey,SMILES,LogS,T,Source
FVWJYYTZTCVBKE-ROUWMTJPSA-N,[H][C@]12[C@@H](CC[C@]1(CO)CC[C@]1(C)[C@]2([H])CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(C)=C,-1.692333915,25.04,Reaxys
FWSMXVXIXPWASU-KACYJRNJSA-N,[H][C@@]12CC[C@H](OC(=O)CCCC)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)C1=CC=CC=C1)C=C3,0.035633813,20,Reaxys
FXXDPMMUSACTPR-UHFFFAOYSA-N,CC(N(CCC(O)=O)C(=O)C1=CC=CC=C1)C(O)=O,-1.097448168,20,Reaxys
FYMCICGEGWOUKR-VAWYXSNFSA-N,NC(=O)\N=N\C1=CC=CC(=C1)C(N)=O,-1.485741766,15,Reaxys
FZERHIULMFGESH-UHFFFAOYSA-N,CC(=O)NC1=CC=CC=C1,0.359498417,25,Reaxys
GKWPCEFFIHSJOE-UHFFFAOYSA-N,CCN(C(=O)C1=C(O)C2=C(Cl)C=CC=C2N(C)C1=O)C1=CC=CC=C1,-1.863660145,20,Reaxys
GMYLVKUGJMYTFB-UHFFFAOYSA-N,CCN1C(=O)CNC2=C1N=C(C=N2)C1=CC=C(N=C1C)C1=NN=CN1,-2.864041347,NA,Reaxys
GMZVRMREEHBGGF-UHFFFAOYSA-N,NC(=O)CN1CCCC1=O,-1.371410923,24.84,Reaxys
GONDWPCTSYVHPW-UHFFFAOYSA-N,CCCCCCCCCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,-2.283762019,20,Reaxys
GOUHYARYYWKXHS-UHFFFAOYSA-N,OC(=O)C1=CC=C(C=O)C=C1,-1.10551814,30,Reaxys
GPAPPPVRLPGFEQ-UHFFFAOYSA-N,ClC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,-0.485005165,20,Reaxys
GQLZJDIJIIFRPK-UHFFFAOYSA-N,NC1=C(NC2=CC=C(Cl)C=C2)C=C(Cl)C=C1,0.056047153,20,Reaxys
GRWAIJBHBCCLGS-UHFFFAOYSA-N,OC(=O)CN1C=NN=N1,0.190635412,25.08,Reaxys
GSTRJEXEASEEIB-WKEGUHRASA-N,CC1(C)[C@@H](CC[C@@]1(C)C(N)=O)C(O)=O,-0.501438686,20,Reaxys
GUEIZVNYDFNHJU-UHFFFAOYSA-N,OC1=CC=C(O)C2=C1C(=O)C1=CC=CC=C1C2=O,-1.84227779,25,Reaxys
GVKZASFESNAHJC-UHFFFAOYSA-N,COC(=O)C1=NNN(C)C1=O,-0.958964009,18,Reaxys
GXGKKIPUFAHZIZ-UHFFFAOYSA-N,C(SC1=NN=NN1)C1=CC=CC=C1,-0.455931956,NA,Reaxys
HCBHQDKBSKYGCK-UHFFFAOYSA-N,CC1=CC=CC(C)=C1C(O)=O,0.412228301,20,Reaxys
