StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
KKJPFYIKWNKDSH-WZIZPHDVSA-N,CC(CO)[C@H](C(=O)N[C@@H]1C2CC[C@@](C)([C@@H]1O)C2(C)C)O,Test,-0.362324399,299.411,172.5,254.556,-943.5273354,-943.5422548,-0.014919393,-943.161276,-943.176873,-0.015597,-925.9834249,-926.0036743,-0.020249433,-925.540021,-925.560581,-0.02056,3.4305,5.5047,-0.26337,-0.01446,0.26369,0.26358,500.995575,-3.11891,-3.84874,-0.80527,0.67539,-3.7425,47,11737,18885,20281.5,0.574583501,0.606311883,0.955353263,5,53.91652506,-171.3405876,225.2571127,6422,0.034982906,0.016201323
KKWXXQXQVFLMOP-LSLJNABFSA-N,CC(=O)CC1=C(C(=O)O[C@@H]1C)C(C)(C)[C@@H]1C(=O)C(C)OC1=O,Train,-0.693137174,308.331,171,231.412,-1073.133729,-1073.160016,-0.02628693,-1072.846968,-1072.87237,-0.025402,-1053.219273,-1053.23804,-0.01876614,-1052.861323,-1052.881096,-0.019773,6.4789,9.8272,-0.27177,-0.07651,0.20164,0.27198,511.6067505,-3.47162,-1.83289,-0.78069,0.83837,-3.47162,42,13717,17503.5,21784.5,0.571126809,0.698833938,0.751592357,4,73.09078484,-356.843382,429.9341669,10257,0.041916171,0.015896985
KOOOGBROHMNAPU-UHFFFAOYSA-N,c1ccc(c(c1)C(=O)N=[N+]=[N-])[N+](=O)[O-],Train,-0.78430213,192.134,37.5,142.21,-713.6945006,-713.7071978,-0.012697177,-713.618167,-713.630944,-0.012777,-700.3488655,-700.351681,-0.002815479,-700.254158,-700.259028,-0.00487,6.3446,8.4884,-0.29236,-0.11217,0.16598,0.29257,359.8276062,-1.35144,-0.17944,-0.59237,0.66636,-0.92,18,8851,10563.5,15793.5,0.460618855,0.573971094,0.828301174,2,30.36275254,-209.8227764,240.1855289,6087,0.039438682,0.011450065
KRKNYBCHXYNGOX-UHFFFAOYSA-N,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Test,0.390786338,192.125,153,129.949,-760.0790401,-760.1056044,-0.026564223,-759.969757,-759.995406,-0.025649,-745.9544534,-745.9733625,-0.018909082,-745.814457,-745.833171,-0.018714,4.8042,7.4908,-0.29214,-0.03867,0.23948,0.29235,351.3944702,-4.80171,1.51503,-0.76781,0.83161,-4.80171,21,9152,11373,14102,0.557471264,0.66091954,0.822033898,3,3.736221448,-307.4338228,311.1700443,5516,0.051161212,0.01958868
KTFCASILCGCMLM-UHFFFAOYSA-N,C(CCCCCNCCCCCCCN)CCCCC(=O)O,Test,-1.383693868,314.512,154,262.485,-968.7795559,-968.7925966,-0.013040639,-968.289572,-968.303278,-0.013706,-950.702711,-950.7294591,-0.026748196,-950.098361,-950.126614,-0.028253,1.9385,2.5571,-0.2139,0.01249,0.29064,0.21411,760.2688599,-1.35257,-6.35383,-0.91738,0.84785,-2.97503,60,5833,30048,32095.5,0.165929204,0.202457333,0.837811638,10,-57.85203543,-155.8543539,98.00231843,1496,-0.045461343,0.012413074
KTHRQDFQEQQGDF-UHFFFAOYSA-N,CCCCCCCCCCCCCC(C(C(=O)O)O)O,Train,-1.407459278,288.428,114.875,246.027,-929.9305565,-929.9433011,-0.012744597,-929.520127,-929.536044,-0.015917,-912.5806128,-912.6023149,-0.021702155,-912.072753,-912.09551,-0.022757,1.946,2.5897,-0.27419,-0.02575,0.2524,0.2744,662.8262939,-2.9229,-5.42046,-0.79049,0.81377,-2.9229,52,7381.5,28790,29276,0.247460855,0.292641789,0.814878855,5,23.20341944,-115.0684243,138.2718437,2154,-0.038563073,0.009542929
KUXPBFJYMIIGBY-UHFFFAOYSA-N,COC(=O)C(C(C(=O)OC)OC(=O)c1ccccc1)OC(=O)c1ccccc1,Train,-2.316835803,386.358,137.5,260.584,-1374.849954,-1374.868316,-0.01836287,-1374.558138,-1374.577885,-0.019747,-1349.2982,-1349.308707,-0.01050748,-1348.943592,-1348.95373,-0.010138,1.00E-04,1.00E-04,-0.27201,-0.06751,0.21064,0.27222,647.4663086,-4.66953,0.05158,-0.62616,0.82667,-4.66953,46,14099.5,21480,30760.5,0.365830793,0.521150901,0.61669977,5,-64.60439199,-299.0967633,234.4923713,6818,-0.043792176,0.012658909
KWHQDNKVVVTPFL-UHFFFAOYSA-N,c1ccc2c(c1)c1=Nc3cccc(=Nc4c5ccccc5c(N=c5cccc([nH]5)N=c2[nH]1)[nH]4)[nH]3,Train,-1.681923089,440.467,344,295.938,-1439.656139,-1439.673668,-0.01752877,-1439.311099,-1439.329792,-0.018693,-1412.733331,-1412.76689,-0.03355884,-1412.33596,-1412.356689,-0.020729,0.5675,1.1531,-0.15266,-0.10506,0.17309,0.15287,670.8760376,0,-0.6764,-0.64117,0.44829,-4.7398,52,15890,16792.5,35637,0.416988417,0.477876106,0.821077656,12,64.19768455,-170.2263682,234.4240527,2708,-0.02926,0.007004956
KWIUHFFTVRNATP-UHFFFAOYSA-N,C[N+](C)(C)CC(=O)[O-],Train,-0.237499612,117.148,293.25,104.583,-402.3358944,-402.3755907,-0.039696271,-402.202934,-402.242032,-0.039098,-394.7184127,-394.7626364,-0.044223733,-394.558188,-394.601257,-0.043069,11.7737,15.2887,-0.21604,-0.03131,0.24684,0.21625,290.5386963,-1.57941,-1.0248,-0.79055,0.76999,-1.92353,19,8085.5,9545.5,10181.5,0.664791484,0.881818182,0.993865023,2,91.7210809,-367.2871685,459.0082494,7211,0.063653897,0.018729759
KWRYMZHCQIOOEB-LBPRGKRZSA-N,C[C@@H](c1cc2ccc(cc2nc1c1ccccn1)F)Nc1c2c([nH]cn2)ncn1,Train,0.240146748,385.403,144,268.69,-1293.052975,-1293.073242,-0.02026709,-1292.761934,-1292.7822,-0.020266,-1269.030187,-1269.058148,-0.02796185,-1268.681834,-1268.710999,-0.029165,3.5266,5.7716,-0.2245,-0.07558,0.20257,0.22471,633.8996582,0,-0.37732,-0.68364,0.47491,-4.14722,45,18080.5,20107,27143.5,0.574437918,0.673956236,0.823923317,7,-52.62539584,-309.5103241,256.8849282,5896,-0.041759285,0.01674954
