StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
YZVWKHVRBDQPMQ-UHFFFAOYSA-N,Nc1c2c3c4c(cc2)cccc4ccc3cc1,Train,-0.61272,217.2696,116.75,147.175,-671.1482576,-671.1581211,-0.009863415,-670.961127,-670.971,-0.009873,-658.6368367,-658.6384053,-0.001568567,-658.41642,-658.418138,-0.001718,2.0313,2.9271,-0.18798,-0.05875,0.26052,0.2129,404.5418396,0,-2.23582,-0.86132,0.42687,-0.86132,28,16402,20294.5,40688,0.333333353,0.403669725,0.993957208,6,-18.31111748,-147.2374949,128.9263775,3394,0.037164443,0.016137005
ZAFYATHCZYHLPB-UHFFFAOYSA-N,O=C(N(C)C)Cc1c(c2ccc(C)cc2)nc2n1cc(C)cc2,Train,-1.297,307.3944,196,280.303,-976.2130717,-976.2275756,-0.014503885,-975.900357,-975.915298,-0.014941,-957.9847482,-957.9883273,-0.00357908,-957.603168,-957.60987,-0.006702,2.3013,3.1286,-0.20763,-0.04254,0.27673,0.23255,575.1503296,-0.70935,-3.26957,-0.70935,0.69176,-2.06941,44,27702,41048,47480,0.484202952,0.641969621,0.809811347,6,-60.0652986,-214.1123287,154.0470301,4454,0.027067183,0.004267773
ZCINFQNVNLHJOV-UHFFFAOYSA-N,O=[N+]([O-])C1=C(OCC)C(=O)N(C(C)C)C1,Train,-4.331,214.2206,49.5,131.147,-761.7160079,-761.7322623,-0.016254375,-761.523153,-761.54124,-0.018087,-747.5077924,-747.5116322,-0.003839797,-747.269024,-747.275411,-0.006387,4.6123,6.0974,-0.27062,-0.10501,0.21426,0.29554,430.449646,-2.02691,-1.55898,-0.71624,0.6328,-2.00031,29,20501,26996.5,34372.5,0.609928011,0.741827596,0.782745338,3,57.69401971,-231.8932801,289.5872999,9655,0.029993506,0.006660487
ZDPHROOEEOARMN-UHFFFAOYSA-N,O=C(O)CCCCCCCCCC,Train,-3.55,186.2936,28.6,157.741,-582.9196858,-582.9332812,-0.013595393,-582.647768,-582.662396,-0.014628,-572.018322,-572.0231273,-0.004805216,-571.679201,-571.685229,-0.006028,4.5681,5.9204,-0.28589,-0.01906,0.30021,0.31081,485.3204651,-1.3757,-4.14343,-0.73326,0.83136,-1.3757,35,11326,35015,38188.5,0.270833333,0.345099281,0.793893198,2,26.05896683,-145.2334655,171.2924323,3756,0.045605014,0.023238145
ZDXPYRJPNDTMRX-VKHMYHEASA-N,O=C(O)[C@@H](N)CCC(=O)N,Train,-0.55,146.1456,185,97.863,-531.7856449,-531.8061392,-0.020494319,-531.656268,-531.677679,-0.021411,-521.8284256,-521.8410408,-0.012615202,-521.671951,-521.685813,-0.013862,3.9405,5.6647,-0.25806,-0.0242,0.29507,0.28298,317.3765259,-2.1105,0.28678,-0.94504,0.82299,-3.91484,20,16752.5,20845,24043.5,0.681618656,0.83333332,0.993197366,3,75.66092802,-210.0648489,285.7257769,6116,0.046717753,0.018297449
ZEKZLJVOYLTDKK-UHFFFAOYSA-N,Fc1c(N2CC(C)NCC2)c(F)cc2c(=O)c(C(=O)O)cn(CC)c12,Train,-2.3328,351.3522,239.775,288.41,-1248.916257,-1248.939827,-0.02357037,-1248.615929,-1248.639508,-0.023579,-1225.791098,-1225.805087,-0.01398851,-1225.425615,-1225.439027,-0.013412,10.8467,14.7531,-0.23476,-0.07858,0.24069,0.25968,560.2598267,-2.11417,-0.82405,-0.74404,0.80796,-4.3903,44,23959,33894.5,52781,0.429953636,0.632348884,0.669523496,3,186.7014066,-309.829157,496.5305635,13229,0.037533492,0.011185981
ZGEGCLOFRBLKSE-UHFFFAOYSA-N,C(=C)CCCCC,Train,-3.73,98.1876,-119,114.73,-275.1727036,-275.1742709,-0.001567294,-275.013023,-275.014869,-0.001846,-269.9777194,-269.9727331,0.00498621,-269.777995,-269.773365,0.00463,0.4643,0.6115,-0.25787,0.00274,0.32201,0.28279,333.22052,0,-3.26035,-0.68801,0.24798,0,21,11657.5,23484.5,23835.5,0.450325803,0.454977775,0.977080538,2,-13.56145488,-13.56145488,0,296,-0.024201518,0.00242397
ZGRYQDHDZGJMNF-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2c(S(=O)(=O)CC(O)C2)c1,Train,-1.589,283.3318,187,154.458,-1897.475875,-1897.503146,-0.02727157,-1897.346037,-1897.374161,-0.028124,-1868.811168,-1868.852242,-0.04107454,-1868.65704,-1868.697449,-0.040409,6.9147,10.2641,-0.28096,-0.08287,0.2364,0.30588,426.7894592,-4.65367,-2.48074,-1.11973,2.30964,-0.71429,25,19689.5,27413.5,33532.5,0.539129105,0.71440049,0.873500512,5,121.6158976,-289.3496817,410.9655793,7940,0.051585878,0.019212835
ZIEWAMOXCOLNSJ-UHFFFAOYSA-N,ClC(Cl)C(=O)NC1=C(Cl)C(=O)c2c(C1=O)cccc2,Train,-5.03,318.5433,212.5,168.885,-2121.927979,-2121.941932,-0.01395358,-2121.815531,-2121.82999,-0.014459,-2091.288088,-2091.29457,-0.00648232,-2091.14626,-2091.153723,-0.007463,4.3155,6.2683,-0.27131,-0.14117,0.1781,0.29623,466.1365662,-1.70949,0.39783,-0.63907,0.67407,-2.2619,25,18779.5,27763,43074.5,0.434159708,0.636805981,0.675552409,6,48.35364193,-170.5737679,218.9274099,3673,0.036657045,0.009645107
ZISSAWUMDACLOM-UHFFFAOYSA-N,C(C(C)C)(C)(C)C,Train,-4.36,100.2034,-25,103.548,-276.401124,-276.4015964,-0.000472323,-276.217987,-276.218986,-0.000999,-271.1961104,-271.191219,0.004891429,-270.96647,-270.96152,0.00495,0.0721,0.0926,-0.3036,0.00393,0.3232,0.32852,301.1340332,0,-3.76511,-0.68184,0.23789,0,23,17208.5,18096.5,22203.5,0.905063273,0.907514451,0.983319119,0,0,0,0,0,0,0
ZJJXGWJIGJFDTL-UHFFFAOYSA-N,S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(CCNC(=O)c2ncc(C)nc2)cc1,Train,-5.4881,445.5354,208.25,357.62,-1789.381317,-1789.41215,-0.03083278,-1788.974727,-1789.005675,-0.030948,-1758.142839,-1758.168667,-0.02582803,-1757.647532,-1757.672377,-0.024845,7.4834,14.0104,-0.25907,-0.08193,0.23734,0.28399,771.5485229,-3.31644,-3.39,-0.97225,2.33368,-4.09696,58,31742.5,56670,61796,0.32375292,0.468901558,0.656968297,6,67.07093483,-441.6559392,508.726874,10477,0.037238041,0.019393691
