StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
KGCNHWXDPDPSBV-UHFFFAOYSA-N,ClCC1=CC=C(C=C1)N(=O)=O,Train,0.763514653,171.583,71.35,113.445,-935.6811822,-935.6916665,-0.010484282,-935.595852,-935.606588,-0.010736,-921.1734298,-921.1875681,-0.01413836,-921.066791,-921.080977,-0.014186,4.2686,5.6083,-0.29524,-0.11484,0.14317,0.26727,336.8674927,-0.81002,-1.24141,-0.43727,0.5009,-0.41889,17,7248,10267,14280.5,0.502896987,0.656804734,0.862417,4,105.1734776,-115.176826,220.3503036,5324,0.040841916,0.011305752
KIGQVWWOESIMBG-UHFFFAOYSA-N,OC(=O)CN(CCC#N)CCC#N,Train,0.273335105,181.194,75.65,146.601,-626.1676139,-626.1905552,-0.022941289,-626.021067,-626.043764,-0.022697,-614.5160698,-614.532955,-0.01688527,-614.330839,-614.348982,-0.018143,4.9494,6.3445,-0.25823,-0.03556,0.22245,0.23026,403.255249,-1.36515,-0.5287,-0.72501,0.81105,-2.73489,24,10695,13070.5,15727,0.494736842,0.619645482,0.982816323,4,237.2239553,-218.4754346,455.6993899,9382,0.048571668,0.015816188
KJFMBFZCATUALV-UHFFFAOYSA-N,OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(O)C=C1,Test,-0.081272278,318.329,260.875,272.895,-1071.499997,-1071.520349,-0.02035219,-1071.257361,-1071.277391,-0.02003,-1051.594959,-1051.615476,-0.02051696,-1051.305704,-1051.326172,-0.020468,3.7902,5.4738,-0.23426,-0.06263,0.19538,0.20629,538.1726074,-2.6126,-1.55398,-0.72146,0.81578,-2.6126,38,17557.5,17912,20667.5,0.755027913,0.815576779,0.99670179,7,44.08407224,-231.3691283,275.4532005,3616,0.030799388,0.006450744
KKJPFYIKWNKDSH-WZIZPHDVSA-N,[H][C@@]12CC[C@@](C)([C@@H](O)[C@H]1NC(=O)[C@@H](O)C(C)(C)CO)C2(C)C,Test,-0.415569911,299.411,172.5,198.918,-982.8407982,-982.8566596,-0.015861423,-982.448315,-982.464651,-0.016336,-964.5616865,-964.579565,-0.017878556,-964.084701,-964.103325,-0.018624,3.567,5.1159,-0.25848,-0.02405,0.23396,0.23051,524.2424927,-3.10354,-4.36084,-0.80585,0.67449,-3.73966,50,11599,20003.5,22329.5,0.502269635,0.539717779,0.923997117,6,32.86434027,-179.6474795,212.5118198,4683,0.037323155,0.01861106
KKWXXQXQVFLMOP-LSLJNABFSA-N,C[C@H]1OC(=O)C(C1=O)C(C)(C)C1=C(CC(C)=O)[C@@H](C)OC1=O,Train,-0.635148702,308.331,171,233.918,-1073.133729,-1073.15956,-0.02583145,-1072.84697,-1072.871878,-0.024908,-1053.219276,-1053.243238,-0.02396241,-1052.861326,-1052.884361,-0.023035,6.4791,9.75,-0.27177,-0.07651,0.1815,0.2438,511.2371521,-3.46839,-1.83367,-0.78066,0.83805,-3.46839,42,13730.5,17481,21784,0.571104537,0.697090839,0.757961783,4,72.50772075,-355.2764657,427.7841864,10246,0.041751336,0.015754065
KMPWYEUPVWOPIM-QAMTZSDWSA-N,[H][C@](O)(C1=CC=NC2=C1C=CC=C2)[C@@]1([H])C[C@@H]2CC[N@]1C[C@@H]2C=C,Train,-2.614625863,294.396,263,180.38,-921.9835454,-921.9959776,-0.01243211,-921.653447,-921.665215,-0.011768,-904.8390081,-904.8582195,-0.019211437,-904.439608,-904.458656,-0.019048,2.7809,4.1042,-0.21888,-0.06417,0.19384,0.19091,533.3216553,-0.77625,-3.87251,-0.77625,0.5081,-1.78897,44,13162,17497,23682,0.548717145,0.699323525,0.872729484,6,21.66142243,-162.3669493,184.0283718,4784,0.030475521,0.012308503
KMRIWYPVRWEWRG-UHFFFAOYSA-N,OC1=CC(=C(O)C=C1)P1(=O)OC2=C(C=CC=C2)C2=C1C=CC=C2,Train,-1.609235088,324.273,254.5,244.69,-1336.083231,-1336.099836,-0.01660526,-1335.859822,-1335.876932,-0.01711,-1313.038957,-1313.061737,-0.02278024,-1312.774474,-1312.796944,-0.02247,6.3817,9.1904,-0.21734,-0.07447,0.18354,0.18937,519.8679199,-3.38439,-2.80031,-1.12248,2.26412,-1.12027,36,16107,18103,21302,0.713074463,0.879652174,0.97919628,4,50.6230397,-233.9701294,284.5931691,7428,0.037954064,0.015384209
KOOOGBROHMNAPU-UHFFFAOYSA-N,O=C(N=N#N)C1=C(C=CC=C1)N(=O)=O,Train,0.424178789,192.134,37.5,135.448,-713.6945005,-713.7070028,-0.012502202,-713.618176,-713.630742,-0.012566,-700.3488674,-700.3563998,-0.00753238,-700.254163,-700.261701,-0.007538,6.3434,8.4538,-0.29233,-0.11214,0.14587,0.26436,359.7631226,-1.34992,-0.17986,-0.59159,0.6662,-0.91892,18,8864.5,10573.5,15786.5,0.461305599,0.573410426,0.829478678,2,30.03310797,-208.7495024,238.7826104,6069,0.039327865,0.011398924
KOZNAHJIJGCFJJ-UHFFFAOYSA-N,OC1C(=O)N(CCCCN2CCN(CC2)C2=NC=CC=N2)C(=O)CC11CCCC1,Train,-1.261272604,401.509,109.5,289.804,-1318.405763,-1318.42301,-0.01724701,-1317.946779,-1317.967492,-0.020713,-1293.906842,-1293.939121,-0.03227929,-1293.347324,-1293.381622,-0.034298,2.7017,3.6884,-0.21577,-0.04887,0.20914,0.1878,709.2817383,-2.03635,-3.26533,-0.77716,0.73518,-4.68667,60,11165.5,28444,31387.5,0.335724573,0.340595649,0.930720704,11,-47.44138549,-215.3279952,167.8866097,2425,0.034573592,0.016671019
KPDYGMJTDBCCLN-UHFFFAOYSA-N,OC(=O)C1=CC=CC2=C1C1=C(C(=O)C3=CC=CC=C3C1=O)C1=CC=CC=C21,Train,-1.90867981,352.346,267.9,237.515,-1184.650618,-1184.666011,-0.01539297,-1184.410847,-1184.426349,-0.015502,-1162.632825,-1162.651947,-0.01912196,-1162.346563,-1162.367645,-0.021082,1.4588,2.4043,-0.24005,-0.11721,0.1408,0.21208,538.3259888,-2.50744,-0.90527,-0.7137,0.8253,-2.50744,39,13199,14074.5,27846.5,0.468092987,0.493977245,0.800080649,5,-31.99520338,-237.0111902,205.0159869,3999,-0.043270856,0.014243627
